titre,texte,note,date
Une mutuelle qui pénalise ses assurés,"Bloquer la mutuelle et les remboursements de salariés pour une formalité est déjà grave. Mais le plus incompréhensible, c’est de laisser traîner la situation avec des mails automatiques au lieu de simplement appeler pour régler le problème en quelques minutes. Résultat : des salariés pénalisés, une situation absurde et un service client incapable d’agir avec sérieux.",1,2025-09-12T20:26:06.000Z
Plus rapide que la fibre,Incroyable : j’ai envoyé une facture pour un remboursement et l’argent est arrivé en moins de 60 secondes ! J’ai à peine eu le temps de fermer l’appli — mon iPhone n’était même pas encore verrouillé — que je recevais déjà la notification de ma banque. Bravo Alan !,5,2025-09-12T12:48:20.000Z
Très bonne réactivité et très à l'écoute,Très bonne réactivité et très à l'écoute ,5,2025-09-10T11:09:13.000Z
Mutuelle fortement recommandée !,"Nouvelle mutuelle mais déjà des points d'expérience positive là où c'est de neutre à poussif ailleurs.On peut réellement parler d'expérience à part pour cette mutuelle, qui n'a rien à voir avec les autres expérimentées jusque là.Entre une application aussi ludique qu'efficace et des services à part : propre réseau de médecins, propre parc à lunettes de vue (avec de jolies montures!) et un shop de produits santé qualitatifs.Le changement de mutuelle a été millimétré, informés tout du long jusqu'au jour J. Aucun besoin de vérifier et encore moins de contacter pour une télétransmission pas mise en place.Tout ça avec une couverture intéressante pour un coût moindre.Comment niveler l'univers des mutuelles vers le haut.",5,2025-09-09T16:13:30.000Z
J'ai été ravie d'avoir Alan comme mutuelle,J'ai souscrit Alan après la fin de ma portabilité et j'en ai été très satisfaite pendant ces 4 années.Les remboursements sont très rapides et les réponses à nos questions sur le chat parfaites aussi.Je serais restée chez Alan si je n'avais pas eu une autre mutuelle obligatoire dans ma nouvelle entreprise.,5,2025-09-07T17:39:00.000Z
Appel téléphonique suite à la fin d'un contrat Alan.,Personnel à l'écoute et agréable.,5,2025-09-06T09:05:45.000Z
Très bien ,Très bien Belle expérience ,5,2025-09-05T18:17:04.000Z
Un service client de rêve !,Une personne de chez Alan m’a assisté durant plusieurs jours suite à un problème qui n’était même pas de leurs faits. La personne m’a relancé et aidé à plusieurs reprises en répondant très rapidement à mes messages aussi bien le soir après 20h que le dimanche. Du jamais vu !,5,2025-09-04T21:36:30.000Z
Je suis une nouvelle adhérente d'Alan.,"Je suis une nouvelle adhérente d'Alan.Suite à une erreur de ma part dû à ma récente adhésion, j'ai été écoutée et tres bien renseignée. Le problème a été résolu.L'application est agréable et ludique, il est facile de naviguer !Merci ! 😊 ",5,2025-09-04T16:24:48.000Z
Solution rapide efficace apportée,Solution rapide efficace apportée ,5,2025-09-04T16:07:28.000Z
RELATION CLIENT,TRES PROFESSIONNEL,5,2025-09-04T15:46:59.000Z
Rapidité et efficacité ,Rapidité et efficacité ! Merci,5,2025-09-03T17:34:38.000Z
Super mutuelle ,Super mutuelle ! Remboursements ultra rapides ! Facilité pour transmettre les pièces justificatives et excellente prise en charge. Et les chargés de clientèle au top !,5,2025-09-03T17:04:38.000Z
Pas capable de faire leur travail…,"Pas capable de faire leur travail lorsqu’on demande un devis et nous demande à nous-mêmes de chercher des informations sur Internet pour que eux leurs travails soient simplifié, Ne te rembourse pas à 100 %, si il y a eu un incident de parcours, en gros c’est quand vous voyez pas votre médecin traitant (même si on en a pas) avant de voire votre spécialiste, c’est dingue. A fuire ! ",1,2025-09-01T21:41:18.000Z
CGLP,Les remboursements sont extrêmement rapides. L'application est simple et très intuitive. Les réponses aux éventuelles questions adressées par mail trouvent une réponse rapide et personnalisée. ,5,2025-09-01T10:26:54.000Z
Alan dépasse toutes mes attentes ,"Alan dépasse toutes mes attentes : bien plus qu'une simple mutuelle, c'est un véritable partenaire santé. Service exemplaire, gain de temps considérable, parcours de soin simplifié. Quand une entreprise promet la qualité et livre le double, c'est suffisamment rare pour le souligner.",5,2025-08-30T09:12:05.000Z
Service client au top,"Service client au top. J'ai eu besoin d'un document spécial, j'ai eu une réponse par mail très rapidement.Ils ont répondu à toutes mes interrogations.",5,2025-08-29T10:14:20.000Z
C’est l’assurance du futur ,C’est l’assurance du futur ! Je suis RAVIE et le mot est faible rapidité efficacité application au top je recommande +++moi qui était chez la pire avant AXA ici tout est traité en express vos remboursements sont traités le jour même ! ,5,2025-08-28T11:25:51.000Z
Un très bon échange,La conseillère m'a donné des conseils pour débloquer mon problème et a donc pris du temps pour moi.,5,2025-08-26T10:49:46.000Z
Parfait rapide est efficace,Parfait rapide est efficace ,5,2025-08-25T17:47:22.000Z
l'équipe toujours à l'écoute avec la…,l'équipe toujours à l'écoute avec la prise en charge du problématique ainsi que la résolution et la satisfaction de mon besoin,5,2025-08-20T17:56:29.000Z
Chat hyper réactif,"Chat hyper réactif, réponse et solution apportée à mon problème en 5min chrono ! ",5,2025-08-19T15:33:32.000Z
"Des interlocuteurs ""humains"" ( dans…","Des interlocuteurs ""humains"" ( dans tous les sens du terme!) qui prennent le relais du bot quand nécessaire et assurent un suivi avec une efficacité et une réactivité remarquables!",4,2025-08-15T11:22:16.000Z
Correction d'une erreur,"Alan m'a informée manquer d'un document pour me rembourser alors que je l'avais envoyé.Je l'ai signalé par chat, et ai été remboursée le jour même après échange avec l'équipe alan",5,2025-08-14T14:20:39.000Z
A fuir : service client robotique,"J'ai été affilié par obligation chez eux alors que mon contrat allait se terminer 2 semaines plus tard : à fuir, ils font tout pour récupérer ne serait-ce qu'une seule mensualité de cotisation malgré l'image client déplorable que cela laisse. Le service client ressemble à une IA.",1,2025-08-14T13:56:18.000Z
Suite à une demande demande de dispense…,"Suite à une demande demande de dispense ou je m'étais trompé sur la date, j'ai eu des échanges par mails et en dernier lieu un agent ALAN m'a contacté par téléphone et le problème a été réglé .Je considère que ALAN est une mutuelle sérieuse",5,2025-08-12T17:54:32.000Z
Impossible de les contacter par téléphone soit tchat virtuel puis email et encore.,"Alan car c'est simple vous ne pourrez pas les contacter-&gt; un robot virtuel vous dissuadera d'allez plus loin....Donc bon courage pour une demande d'information ou faire une réclamation.Bizarrement beaucoup d'avis 5 étoiles avec 1 seul avis, un peu comme les avis Google de resto avec des pseudo 4.6/5(9 avis 5 étoiles pour noyer 1 mauvaise note) alors que ca ne vaut pas un 2/5.",1,2025-08-11T21:57:19.000Z
Gestion déplorable,"Gestion déplorableAyant Alan en surcomplémentaire, voilà déjà 2 mois que je me bats en leur transmettant tous les documents possibles de ma 1ere mutuelle et il y a TOUJOURS un problème selon eux. Ma mutuelle principale ne sait plus quoi faire tant elle m'a fourni des documents ultra complets et systématiquement répondu de manière positive aux différentes sollicitations farfelues d'Alan, qu'AUCUNE autre mutuelle ne leur a jamais demandé... bref une tannée pour se faire rembourser, par contre quand il faut prélever, comme d'hab c'est plus facile !!",1,2025-08-11T15:41:37.000Z
Alan et un mutuelle reactive ,Alan et un mutuelle reactive très a l'écoute pour résoudre un problème très sociable j'ai échange avec une femme suite a un gros problème d'une hospitalisation et a très vite réagi et reste proche du dossier pour suivre l'avancement et nous tien informé du bon fonctionnement je les remercie pour leur travail ,5,2025-08-08T11:26:55.000Z
Je ne connais pas de meilleure mutuelle…,Je ne connais pas de meilleure mutuelle avec un service de tout premier ordre . J’ai 66 ans et ai connu quelques pseudo concurrents vraiment pas à la hauteur. Alan is the best ,5,2025-08-06T15:33:24.000Z
Service client Express 👌🏻,"Un grand merci au service client Alan ! Très réactifs et à l’écoute, j’ai eu une réponse rapide et claire à mon problème. C’est vraiment appréciable. 😊",5,2025-08-06T14:35:04.000Z
Rapide et efficace,Rapide et efficace ,5,2025-08-05T10:57:46.000Z
Les meilleurs ,Les meilleurs ! Hyper réactifs et professionnels. ,5,2025-08-02T12:16:29.000Z
Très agréablement surprise,"Mon entreprise vient de m'inscrire à cette mutuelle, je n'avais aucun mot de passe et aucune instruction.Je suis passée par le chat, une personne m'a répondu.Très professionnelle elle m'a expliqué les démarches, m'a averti qu'elle partait en pause mais qu'elle reprendrait notre échange après déjeuner. Je trouve très agréable cet échange très personnalisé sans avoir besoin de tout rééxpliquer et très bon conseil BRAVO",5,2025-08-01T14:31:32.000Z
J’ai eu affaire à Lucile dans le cadre…,"J’ai eu affaire à Lucile dans le cadre de mes démarches sur Alan. Elle a été vraiment très sympa, réactive et disponible. Mes échanges avec elle ont toujours été agréables et efficaces. Merci encore pour son professionnalisme et sa gentillesse !",5,2025-07-31T12:35:44.000Z
Excellente réactivité et rapidité de…,Excellente réactivité et rapidité de traitement de mes demandes.Bravo pour la politesse des équipes,5,2025-07-30T14:52:28.000Z
"Quand c'est des acts ""standards""","Quand c'est des acts ""standards"", pas de problèmes, par contre, pour ceux qui ont, par exemple, des implants dentaires (c'était mon cas), un fiasco dans la gestion...ils n'ont jamais les bon papiers, les demandes ne sont pas claires, in fine, ils me remboursent mais ensuite je dois leur rembourser un trop perçu...A côté, j'ai Helium/MMA, pas forcément plus cher, ils remboursent le double sur les implants et pas de problèmes de papiers...no comment",1,2025-07-26T12:07:02.000Z
Mutuelle au top,Personnel très réactif et agréable par téléphone.Remboursement très rapide.Mutuelle au top.,5,2025-07-24T19:45:48.000Z
Une mutuelle super réactive et qui…,Une mutuelle super réactive et qui rembourse au top. Tout se fait en ligne super,5,2025-07-24T17:53:32.000Z
Au top ,Les conseillers sont toujours très réactifs et très aimable Les paiements sont rapides C’est vraiment une mutuelle que je recommande à 100%,5,2025-07-22T16:31:58.000Z
une expérience catastrophique,"Remboursement : 0Attente : +60 joursÉcoute client : inexistanteChat : inutilisableRéactivité : absenteVoilà 2 mois que j'attends un remboursement simple malgré l'envoi de toutes les pièces justificatives :✅ Décomptes✅ Ordonnance✅ Photos✅ Pièce d’identité✅ Attestation✅ ContratEt pourtant : toujours rien.Le service client est impossible à joindre, que ce soit par mail ou via l’espace de messagerie. Le ""chat"" se contente de messages automatiques, sans aucun suivi humain.Pire : on me demande d’expliquer en détail mes soins médicaux personnels, voire de transmettre des ordonnances, ce qui pose clairement question au regard du RGPD et du respect de la vie privée.Je doute sérieusement de la légitimité d'une mutuelle ou complémentaire santé à exiger ce niveau d'intrusion médicale pour bloquer un remboursement — surtout lorsque la garantie est claire et validée.🚫 Employeurs, RH, CSE : fuyez ce type de mutuelleLa Qualité de Vie au Travail commence par une mutuelle fiable et humaine, pas par une plateforme qui invisibilise les assurés et bloque les remboursements sans motif.Alan, c’est peut-être joli sur le papier, mais concrètement, quand vous êtes malade, en attente, ou que vous comptez sur votre mutuelle pour partir sereinement en vacances : elle n’est pas là.Je déconseille très fortement cette solution, tant pour les particuliers que pour les entreprises.",1,2025-07-22T11:42:40.000Z
Parfait ,Parfait ! Très efficace !,5,2025-07-17T18:24:49.000Z
c'est beaucoup plus facile quand on…,c'est beaucoup plus facile quand on finit par vous appeler pour nous aider à naviguer dans l'application.,4,2025-07-12T02:08:44.000Z
Parfait très bonne mutuelle,Parfait très bonne mutuelle ,5,2025-07-11T17:05:11.000Z
Service client qui se dégrade c'est dommage,"J'utilise Alan depuis 10 ans, malheureusement il est de plus en plus compliqué d'avoir des remboursements 'classiques', j'ai du envoyer 10 email depuis 1 mois pour me faire rembourser des lentilles mais aucune nouvelle.. Le mois dernier j'ai reçu un remboursement cardiologue en une demi journée. La qualité devient aléatoire. ",2,2025-07-11T16:08:38.000Z
Très bonne mutuelle,"Très bonne mutuelle, à l'écoute de leurs clients, une question ? Ils vous répondrons dans les minutes qui suivent, au top 👍👍",5,2025-07-09T18:05:30.000Z
Avec Alan tout est rapide efficace en…,Avec Alan tout est rapide efficace en plus on vous répond sur le champ,5,2025-07-09T16:14:51.000Z
Ce que j'apprécie le plus chez Alan…,"Ce que j'apprécie le plus chez Alan c'est la rapidité de traitement des remboursements et autres démarches. La plupart du temps tout est automatique, et quand ça ne l'est pas, on peut facilement résoudre les problèmes avec leur service client qui est très réactif.",5,2025-07-08T10:48:57.000Z
Renseignements ,"J'ai envoyé un mail pour une n'information et j'ai eu une réponse rapidement, clair et précis.",4,2025-07-07T11:40:58.000Z
rapidité de réponse à un message,"les réponses aux messages sont rapides, claires et précises, et surtout, parfaitement courtoises (ce qui, pour ce dernier point, n'est pas toujours le cas sur d'autres sites commerciaux)et les remboursements sont toujours très rapides, mais ce n'était pas l'objet de cette expérience",5,2025-07-04T17:32:10.000Z
Catastrophique,"Catastrophique! la pire mutuelle qui soit, ils ont tous les documents depuis 1 mois, décompte sécu médecin, décompte sécu lunettes, facture et bon de livraison lunettes, ils ont tout, 0 remboursement, je ne sais plus quoi faire !! Télétransmission du 5 mai 2025 !!! ",1,2025-06-30T18:08:58.000Z
Alan TNS depuis 2 ans,"Alan TNS depuis 2 ansRemboursements ultra rapides, super simple à souscrire (c'était parfait pour moi à l'époque). C'est vite cher en famille par contre, mais pour moi tout seul qui suis ""jeune"", c'est parfaitement acceptable (en madelin). Les garanties sont bonnes : on peut trouver mieux, bien sûr, mais probablement pas avec une telle fluidité.",5,2025-06-27T13:52:46.000Z
Une rapidité de remboursement…,Une rapidité de remboursement incroyable !,5,2025-06-27T12:23:05.000Z
Echange sur un clip solaire pour lunettes de vue ,"Excellent relationnel à l'écoute et réactifs, décidément nous avons enfin une mutuelle santé au top ! ",5,2025-06-24T20:30:53.000Z
Très réactif et très bonne relation…,"Très réactif et très bonne relation client : une aide personnalisée qui se poursuit tant que les situations problématiques auxquelles vous êtes confronté ne sont pas solutionnées.Idem pour les remboursements qui se font rapidement, bien plus que la sécurité sociale.Après avoir eu plusieurs mutuelles et assurances, je peux dire qu’Alan fait différence.",5,2025-06-22T23:58:12.000Z
Je recommande particulièrement,"Je recommande particulièrement. Depuis environ 5ans je suis chez Alan. Tout est rapide simple dans les échanges, transmissions et remboursements. Service clients hyper réactif et en plus super sympa. Pas forcément les meilleurs sur toutes les formules mais au top sur le service c'est important.",5,2025-06-20T23:22:37.000Z
J'avais un blocage au niveau de…,J'avais un blocage au niveau de l'anticipation des lunettes j'ai contacté alan juste par le chat honnêtement c'était très rapide et efficace Mon problème est réglé de suite j'étais inquiète car je pouvais pas appeler par téléphone mais a 2 reprises aussi pour mon arrêt maladie c'était super rapide et efficace Merci ,5,2025-06-19T21:04:59.000Z
augmentation du remboursement annoncé,"Alors qu'on me réclame un trop perçu de 309€34, mon interlocuteur ALAN m'indique un montant de 350€66 à rembourser. Il a fallu que je les alpague sur plusieurs mails pour obtenir un décompte et une explication du trop perçu. Et maintenant c'est sur le montant qu'il y a un différentiel.Je déconseille cette mutuelle, n'ayant jamais eu de problèmes de cet ordre avec une autre mutuelle durant mon parcours.",1,2025-06-12T23:25:02.000Z
De la poudre aux yeux ,Les services sont rapides et l’application très pratique MAIS ne rembourse rien. Vraiment de l’argent jeté par les fenêtres car ne couvre rien.,2,2025-06-12T11:02:21.000Z
Refus de résiliation alors que j'arrête mon activité principale,"EDITJe modifie mon avis car j'ai eu des explications sur la politique de la mutuelle, que je comprends beaucoup mieux. Je trouve vraiment dommage de pas offrir les mêmes conditions de résiliation que les concurrents, mais j'apprécie beaucoup que ma demande ait été traité avec sérieux, et il est vrai que j'étais dans un cas très particulier (je ne veux pas fermer mon activité d'artiste qui constitue une activité TNS).EXTRAIT ORIGINALAttention Alan est la seule mutuelle à ne pas considérer la reprise d'un emploi salarié avec mutuelle obligatoire comme un motif de résiliation la première année.",4,2025-06-09T13:49:50.000Z
Rapidité de remboursement ,"Rapidité de remboursement Échanges par chat,c'est top !",5,2025-06-05T13:21:22.000Z
Très efficace,"Très efficace, UX simple et compréhensible. Notifications lorsqu'il y a des documents à ajouter. ",5,2025-06-02T10:29:27.000Z
Très réactive lors des différents…,Très réactive lors des différents problèmes.,5,2025-06-02T10:12:20.000Z
Meilleure des mutuelles ,Cette mutuelle est super. La meilleure que j’ai eu depuis le début de ma carrière professionnelle.Remboursement hyper rapide. Très bonne prise en charge. La possibilité de pouvoir échanger avec des médecins via le chat y compris le dimanche et les jours fériés m’a grandement aidé et à plusieurs reprises. Je suis ravie de cette mutuelle ,5,2025-06-01T13:54:53.000Z
C’est une arnaque géante,"C’est une arnaque géante, lorsque vous déclarez un salarié sorti sur votre DSN si en plus vous n’allez pas sur leur site, il continue de facturer l’employeur, mutuelle à fuir!!!! En plus les personnes qui travaille là bas, avec leur espèces d’emoji avec des mains qui font coucou dans leur alors que vous êtes mécontents d’eux, pour un employeur, rien n’est bien chez eux, nul de nul, je n’aurais jamais cru mais je conseille Klesia…",1,2025-05-30T14:47:18.000Z
Alan a révolutionné mon expérience de…,"Alan a révolutionné mon expérience de l'assurance santé depuis que mon entreprise a opté pour leurs services. Une véritable bouffée d'air frais dans un secteur souvent synonyme de frustrations !Leur service client mérite tous les éloges : réactif, compétent et véritablement à l'écoute. Chaque interaction est un plaisir, loin des labyrinthes téléphoniques et des réponses standardisées auxquels nous sommes trop souvent habitués.Les remboursements sont traités avec une efficacité remarquable : jamais le moindre souci, jamais la moindre contestation injustifiée.L'application est géniale, proposant une gamme de services parfaitement intégrés qui simplifient considérablement le suivi de mes soins.Alan incarne parfaitement ce que devrait être une assurance santé moderne : simplicité dans les processus, bienveillance dans les relations humaines, et rapidité dans l'exécution.Une référence absolue qui mérite amplement ces cinq étoiles. Bravo Alan !",5,2025-05-26T10:44:13.000Z
Formidable ,Merci Support rapide et efficace ,5,2025-05-23T14:21:47.000Z
Remboursements,BonjourSuite à une problème de remboursement j’ai envoyé divers mails (17) et ouvert différent chat. Grace a la bienveillance de Lou-Ann qui a bien voulu écouter et comprendre le problème elle l’a transmis au service concerné et a continué à suivre jusqu’au remboursement. Un grand merci à Lou-Ann pour sa patience et persévérance ,4,2025-05-22T08:50:00.000Z
Service client à l'écoute,"Alan est la mutuelle obligatoire Alan proposé par le travail. J'ai échangé par chat pour avoir des renseignements sur l'offre de remboursement de soins proposée. J'ai beaucoup insisté, pour éclaircir certains points. Chaque demande a été traitée avec diligence. Je remercie tout particulièrement Emilie pour son professionnalisme, sa rigueur, sa patience, s'être assurée à chaque fois de la satisfaction de mes requêtes. ",5,2025-05-21T19:40:08.000Z
Contact agréable,"Contact avec le chargé de clientèle aimable, courtois. Il a pris le temps de m'expliquer les différents points abordés. Il s'est assuré que je n'ai plus de questions avant de clôturer la communication.",5,2025-05-21T16:55:54.000Z
Pénalité sur un examen ,"Suite à un soucis sur un remboursement, j'ai eu une personne par téléphone qui a été très aimable et qui m'a bien expliqué la marche à suivre pour résoudre le problème ",4,2025-05-21T16:08:51.000Z
Une mutuelle remarquable,"Il est rarissime d'avoir une mutuelle de cette qualité : remboursements incroyablement rapide, une application très ludique et facile d'utilisation et un suivi client très rapide, sympathique et sérieux ! vraiment une belle surprise, qui mérite d'être notée",5,2025-05-21T11:32:50.000Z
Bienvenu dans les Hunger Games,ALAN est une assurance obligatoire qui ne respecte pas les garanties auxquelles nous souscrivons et qui nie quand nous fournissons toutes les preuves. Cette assurance ne rembourse jamais en intégralité les frais engagés. Si votre employeur signe chez eux pas de chance pour vous! Et pour les tarifs pratiqués il n'a rien de bien exceptionnel.,1,2025-05-21T08:48:25.000Z
Ils sont tres réactifs ils répondent…,"Ils sont tres réactifs ils répondent très rapidement et essayent de cibler le problème pour le résoudre ils sont de bons conseils, je suis chez alan depuis debut 2024 je n’ai jamais eu de soucis sauf si la sécu en présente un, voila tout 🥰 merci a Louis",5,2025-05-21T03:24:58.000Z
Une mutuelle avec une équipe de conseillers au top,Les conseillers Alan sont très professionnels. Ils répondent à toutes les questions avec rapidité et professionnalisme.Les délais de remboursement sont très très courts.Alan est une super mutuelle !!!,5,2025-05-20T17:52:22.000Z
Réactivité du suppprt,"Réactivité du suppprt, excellente couverture ",5,2025-05-20T16:38:16.000Z
Une horreur.,"Une horreur.Le sav met de longues heures à vous rappeler et gare à vous, si vous ratez l’appel.De plus, ils appliquent mal les garanties.",1,2025-05-20T10:26:40.000Z
Très mauvaise expérience avec le SAV de…,Très mauvaise expérience avec le SAV de cette entreprise,1,2025-05-14T15:53:05.000Z
On est pas des robots,"Personnels compétents et à l écoute de ses clientsLe seul point négatif que je reproche à ALAN,c est de pas communiquer par telephone",3,2025-05-11T14:29:37.000Z
Écoute et réactivités !,Écoute et réactivités !,5,2025-05-10T07:26:40.000Z
Une mutuelle efficace et réactive !,"Tout le monde est gentil, courtois, très réactif et très efficace ! Tout est parfait ! On se soucie de l'adhérent. La situation est tellement différente en comparaison avec les mutuelles françaises : il faut demander plusieurs fois un remboursement avant de l'obtenir.Merci pour votre efficacité. Depuis le 01/04/2025 que ma portabilité a débutée et jusqu'à mon dernier contact avec vous entre le 5 et 6 mai dernier, tout s'est passé dans la gentillesse et la bienveillance. Merci.",5,2025-05-08T11:32:28.000Z
Echange très professionnel,Echange très professionnel ,5,2025-05-07T16:33:36.000Z
Meilleure mutuelle.,Meilleure mutuelle.Service client hyper réactif et toujours d’une grande aide. Merci Alan ,5,2025-05-06T18:25:58.000Z
À l’écoute des adhérents ,À l’écoute des adhère ,5,2025-05-06T11:35:09.000Z
NON REMBOURSEMENT des soins ,"J’ai lu tout les mauvais commentaires et nous sommes confronter aux mêmes faits un non remboursement des soins avec Alan. Nous payons une mutuelle pour qu’elle ne prennent aucuns soins, du coup avance des frais et quand on envoie le devis… pas de remboursement, en plus ils m harcèlent ma mail pour un trop perçu de 21€ e sort de nulle part, j’ai eu une fois une personne au téléphone qui m’a dis que ce n’était pas eux mais les organismes de santé, alors que c’est eux qui rejette les organismes de santé. Vraiment si je savais mutuel de travail ou pas j’aurai pas été vers eux À ÉVITER!!!!",1,2025-05-05T12:40:17.000Z
"Mutuelle malhonnête, adhésion à éviter","Alan a tout mis en œuvre pour échapper à ses obligations de remboursement, en avançant des motifs infondés, et ce malgré de nombreux échanges. Le sinistre concernait une urgence vitale, avec une hospitalisation prolongée qui n’offrait aucune marge de choix quant aux conditions d’hébergement, aboutissant à des frais particulièrement élevés.Après de longues semaines de démarches infructueuses, nous n’avons obtenu aucun remboursement. Le service client est impossible par téléphone seulement par chat avec des conseillers à chaque fois différents, ce qui empêche tout échange constructif pour clarifier la situation ou transmettre des éléments explicatifs.Le manque de transparence et l'absence de réelle assistance sont inacceptables pour une mutuelle.Je déconseille vivement cette assurance. À fuir.",1,2025-05-04T14:20:06.000Z
Mutuelle à fuir !,"Mutuelle à fuir !Toujours de très bonnes excuses pour ne pas rembourser.Aucun moyen de discuter avec un conseiller (qui ont tous le même prénom étonnamment !), mails automatiques / générés par l'IA en simple réponse.Ce sont des voleurs.",1,2025-05-02T11:14:54.000Z
Maintenant hors de prix et surtout malhonnêtes et de mauvaise foi. Attendez vous a ne pas recevoir tous les remboursements dus. ," Outre une explosion du prix de presque 100% en 5 ans, Alan fait tout pour s'exonérer des remboursements dus en utilisant des motifs fallacieux. Si il vous arrive quelquechose de grave ou nécessitant une opération lourde, attendez vous à ne pas obtenir les garanties qui sont dues. C'est profondément malhonnête et les conseillers sont vraiment de mauvaise foi. Je déconseille fortement.",1,2025-05-01T12:07:29.000Z
Réactif et très présent durant toute la…,Réactif et très présent durant toute la démarche afin de trouver toutes les solutions ,5,2025-04-30T11:13:18.000Z
"Rapide, efficace et professionnel  ","Une lenteur de traitement de dossier du professionnel de santé, (+ de 10 jours) un mail à Alan le matin, le remboursement sur le compte bancaire l'après-midi.BRAVO",5,2025-04-29T13:52:13.000Z
Réponse rapide via le chat,"Réponse rapide via le chat. Emeline a été très patiente et agréable avec moi. En quelques heures (le temps de récupérer toutes les infos nécessaires auprès d’autres organismes de santé), mon problème était entièrement résolu ! Merci pour votre gentillesse et votre réactivité",5,2025-04-28T18:21:13.000Z
Mutuelle mal honnête,"Remboursements lents, et mutuelle mal honnête : les factures sont très souvent rejetées afin de vous décourager de vous faire rembourser. Les échanges sont fastidieux et il est impossible d'avoir un support client en direct au téléphone, tout passe par un chatbot ou aux mieux par mail. A éviter à tout prix  ",1,2025-04-28T11:40:02.000Z
Très satisfaite ,Réponse toujours très rapide et claire par le support d’Alan (via l’application mobile),5,2025-04-25T14:27:12.000Z
Très facilement joignable,"Très facilement joignable, des réponses rapides et précises.Franchement MERCI !!!",5,2025-04-25T10:14:44.000Z
Très réactifs et efficace,"Très réactifs et efficace. Les réponses sont rapides, claires . Parfait!",5,2025-04-23T09:10:32.000Z
Ma demande a été traitée avec rapidité…,Ma demande a été traitée avec rapidité et professionnalisme.,5,2025-04-22T12:17:12.000Z
Personne très réactif et compréhensif…,Personne très réactif et compréhensif ma demande a vite étais pris en charge.Merci ,5,2025-04-22T09:43:38.000Z
Un très bonne mutuelle,"Un très bonne mutuelle, réactive, rapide et simple d'utilisation. ",5,2025-04-18T12:58:26.000Z
Trop chère et rembourse mal,Bonne app mais mensualités trop chère (x2 que celle de ma compagne) et rembourse moins bien les frais de santé que la concurrence. Bof je m'attendais à rien avec eux et je suis quand même déçus.,2,2025-04-16T19:05:23.000Z
J'ai découvert ALAN par le biais de mon…,"J'ai découvert ALAN par le biais de mon employeur, et nous avons trouvé cette mutuelle au "" TOP "", je dirais même "" HYPER TOP "", tant sur la communication et les échanges, que sur la prise en charge des remboursement. Nous aurions pu mettre les 5 étoiles, mais ..., malgré la portabilité suite à l’arrêt d'activité de mon employeur, nous ne pouvons pas rester chez ALAN, et devons partir pour une autre mutuelle. C'est sincèrement un grand regret de les quitter, et je la recommande vivement à tous ceux qui peuvent y adhérer.  Bonne continuation à l'équipe ALAN, et MERCI pour la qualité de votre travail.",4,2025-04-16T08:53:15.000Z
Parfait,"Paiement rapide, fiable et bonne couverture ",5,2025-04-16T08:00:49.000Z
Les membres du personnel de Alan sont…réactifs,"Les membres du personnel de Alan sont très réactifs! L'application sur le téléphone est top et facile, programme dos intéressant. Bémol, pas de remboursement pour un psychothérapeute ou psychologue qui n'est pas sur la liste de la CPAM...?! Alors que ceux mentionnés sur la liste et dont 8 séances seraient remboursées par Alan, ne sont pas accessibles, ne répondent pas... ou message vocal qui informe qu'ils ne prennent plus de nouveaux patients..! Je ne comprends pas pourquoi Alan ne prévoit pas un remboursement pour tous les psychologues ou psychothérapeutes, ça n'a pas de sens.",4,2025-04-15T10:58:27.000Z
très bonne réactivité aux réponses,très bonne réactivité aux réponsesun grand merci ,5,2025-04-14T10:26:17.000Z
Utilisation chat service client,"Si pas de service client par téléphone, même si trouver le bouton aide/contact n'a pas été facile à trouver, réponse rapide et efficace par chat.",5,2025-04-08T16:57:50.000Z
La meilleure mutuelle ,"La meilleure mutuelle ! Très à l'écoute, appli très claire pour les remboursements, c'est le jour et la nuit avec mes mutuelles précédentes ! Je recommande chaleureusement ! ",5,2025-03-27T11:27:11.000Z
Après avoir pris des lunettes et des…,"Après avoir pris des lunettes et des lentille chez mon opticien, celui ci ayant été réglé par le tiers payant, Alan m a harcelé pendant des semaines pour me réclamer un trop perçu. Tous les règlements ont été fait directement à l opticien par le tiers payant….Aucun considération. Aucun appel explicatifMutuelle à éviter Notre société va sûrement la résilier étant que mutuelle d entreprise ",1,2025-03-24T08:59:06.000Z
Incompréhensible,J'avais une très bonne expérience avec cette mutuelle jusqu'à ce que celle ci décide de ne plus me rembourser les 30 euros de médecine douce auquel j'ai le droit (4 séances). Médiocre.,1,2025-03-19T10:16:53.000Z
Excellente prise en charge des…,Excellente prise en charge des demandes. Réactivité et professionalisme. Alan vous répond même le week-end ! Je recommande ,5,2025-03-18T12:59:01.000Z
La pire des mutuelles ,La pire des mutuelles . Ils font tout pendant plusieurs mois pour ne pas payer mes indemnités journalières ! Nous pouvons même pas communiquer avec des conseillers c’est des robots qui répondent à leur place . C’est impossible d’avoir un bon suivi . Je déconseille fortement cette mutuelle. ,1,2025-03-15T11:21:13.000Z
Réponse rapide,"Réponse rapide, claire , disponibilité  et transparence du conseiller.Je recommande ",5,2025-03-13T13:52:06.000Z
